"","state","2020-01-22","2020-01-23","2020-01-24","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28"
"1","AK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.5,0,4,1.5,0.666666666666667,0.75,4.66666666666667,0.357142857142857,3.4,0.588235294117647,1.6,1.0625,0.705882352941177,0.416666666666667,2.8,0.642857142857143,0.555555555555556,2,1.4,1,0.428571428571429,3.66666666666667,0.590909090909091,0.769230769230769,1.1,1,1.36363636363636,0.333333333333333,1.6,1,0.875,1.28571428571429,0.555555555555556,1,0.4,4,0.75,0.333333333333333,1,0,2,2,1.5
"2","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.2,1.83333333333333,0.636363636363636,1.42857142857143,1.2,2.25,1.03703703703704,0.892857142857143,1.44,0.805555555555556,1.58620689655172,3.1304347826087,1.00694444444444,0.744827586206897,0.722222222222222,1.38461538461538,1.07407407407407,0.482758620689655,1.94642857142857,1.5045871559633,1.60975609756098,0.371212121212121,2.12244897959184,0.783653846153846,1.19018404907975,1.55670103092784,1.12251655629139,0.498525073746313,1.50887573964497,1.25490196078431,0.68125,0.692660550458716,1.89403973509934,0.56993006993007,0.705521472392638,1.77391304347826,0.872549019607843,0.99438202247191,1.3728813559322,1.15637860082305,0.807829181494662,0.885462555066079,0.930348258706468,1.09090909090909,0.593137254901961,1.75206611570248
"3","AR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.75,1.33333333333333,1,1.5,1,1.5,2.77777777777778,1.52,0.473684210526316,2.61111111111111,0.574468085106383,1.11111111111111,2.46666666666667,0.432432432432432,1.46875,0.595744680851064,1.5,1.4047619047619,0.949152542372881,1.08928571428571,0.934426229508197,0.947368421052632,0.148148148148148,14.125,0.654867256637168,0.945945945945946,1.14285714285714,0.8625,0.797101449275362,0.472727272727273,1.88461538461538,4,0.11734693877551,4.26086956521739,0.224489795918367,3.40909090909091,1.16,0.0344827586206897,63.3333333333333,1.53157894736842,0.450171821305842,1.58015267175573,1.00966183574879,0.478468899521531,0.92,0.739130434782609,0.867647058823529
"4","AZ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,4,0,0,2,0,6,0.333333333333333,3.5,2.42857142857143,1.11764705882353,2.10526315789474,1.225,1.6734693877551,1.1219512195122,0.815217391304348,1.42666666666667,1.44859813084112,0.709677419354839,1.32727272727273,1.60958904109589,0.574468085106383,0.925925925925926,1.456,0.950549450549451,1.4393063583815,1.00803212851406,0.745019920318725,0.636363636363636,1.26890756302521,1.93377483443709,0.318493150684932,3.03225806451613,0.517730496453901,1.10958904109589,0.648148148148148,1.48571428571429,1.74358974358974,1.00367647058824,0.772893772893773,0.995260663507109,0.647619047619048,1.375,1.11229946524064,1.48557692307692,0.889967637540453,0.861818181818182,1.0379746835443,0.772357723577236,1.22105263157895
"5","CA",0,0,0,0,2,0.5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,1,0,2,0.5,2,2,0,8,0.5,3.5,1,1.21428571428571,2.35294117647059,0.3,5.25,0.428571428571429,3.88888888888889,0.247619047619048,2.07692307692308,1.81481481481481,1.19387755102041,1.01709401709402,1.53781512605042,1.00546448087432,1.14673913043478,1.32227488151659,0.741935483870968,1.45410628019324,1.60132890365449,0.836099585062241,1.31017369727047,1.60984848484848,1.00941176470588,0.96969696969697,0.780048076923077,1.442218798151,1.25213675213675,1.15784982935154,0.902726602800295,1.10857142857143,0.957290132547865,1.00076923076923,0.91391237509608,0.976450798990748,1.27906976744186,0.771717171717172,1.07242582897033,0.810414971521562,0.874497991967871,1.15269804822044,1.41633466135458,0.870604781997187,0.831179321486268,1.2575315840622,1.08887171561051,0.540809084457062,2.98950131233596,0.853819139596137,0.963496143958869,0.996798292422625,0.94271948608137,0.709256104486087,0.8871096877502,1.35379061371841,0.828
"6","CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.33333333333333,0,7,0.571428571428571,1.5,4.16666666666667,1.12,0.857142857142857,1.25,0.966666666666667,0.793103448275862,0,94,0.904255319148936,1.32941176470588,1.02654867256637,1.11206896551724,1.48062015503876,0.916230366492147,1.96,0.883381924198251,1.08580858085809,0.74468085106383,1.29795918367347,1.07232704402516,1.10263929618768,1.0186170212766,1.17232375979112,0.873051224944321,0.982142857142857,0.576623376623377,1.15765765765766,0.879377431906615,1.96017699115044,0.505643340857788,1.41071428571429,0.822784810126582,0.884615384615385,0.704347826086957,1.25308641975309,5.82266009852217,0.313874788494078,1.04043126684636,0.769430051813471,1.26936026936027,0.901856763925729,1.26764705882353,0.721577726218097,3.18649517684887,0.719475277497477,0.663394109396914,0.928118393234672,1.16628701594533
"7","CT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1.5,4,0.5,2.5,1.8,1.03703703703704,2.25,0.555555555555556,0.828571428571429,3.58620689655172,0.846153846153846,2.30681818181818,1.26600985221675,0.533073929961089,2.03649635036496,0.835125448028674,2.01287553648069,1.23240938166311,0.963667820069204,0.770197486535009,0.622377622377622,4.08614232209738,0.330889092575619,1.10526315789474,3.08521303258145,0.710804224207961,1.14285714285714,1.003,0.751744765702891,1.28912466843501,0.540123456790123,2.56380952380952,0.451708766716196,1.25657894736842,1.4803664921466,0.817860300618921,0.801081081081081,0.556005398110661,4.49757281553398,0.294117647058824,3.8697247706422,0.299193930772878,1.30110935023772,0.805115712545676,1.0393343419062,1.05967976710335,0.432692307692308
"8","DC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,6,0.166666666666667,5,1.8,0.888888888888889,4,0.1875,3.5,0.857142857142857,1.16666666666667,2.19047619047619,1.04347826086957,0.75,1.02777777777778,1.02702702702703,1.55263157894737,1.59322033898305,0.968085106382979,0,67,1.55223880597015,1.39423076923077,0.662068965517241,1.03125,1.15151515151515,2.00877192982456,0.362445414847162,1.65060240963855,0.861313868613139,0.822033898305085,0,183,0.759562841530055,1.10071942446043,0.823529411764706,1.50793650793651,0.668421052631579,1.05511811023622,1.27611940298507,0.631578947368421,1.43518518518519,1.07741935483871,1.02395209580838,0.830409356725146,0.359154929577465,2
"9","DE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0.5,1,9,1,0.444444444444444,2.25,0.666666666666667,1.83333333333333,2.81818181818182,0.548387096774194,0.882352941176471,0,46,1.06521739130435,0.36734693877551,1.77777777777778,1.71875,0.890909090909091,0.510204081632653,2.28,2.50877192982456,0.559440559440559,1.375,1.31818181818182,1.29655172413793,0.49468085106383,1.25806451612903,1.30769230769231,1.03921568627451,0.773584905660377,1.34146341463415,0.533333333333333,0.693181818181818,4.0655737704918,0.866935483870968,0,207,0.898550724637681,1.44623655913978,0.401486988847584,1.24074074074074,1,3.41791044776119,0.279475982532751,3.2265625
"10","FL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0.75,1.66666666666667,2.2,2.18181818181818,0.375,0.666666666666667,5.33333333333333,1.25,0.775,1.58064516129032,2.28571428571429,0.928571428571429,2.11538461538462,0.5,2.20909090909091,0.91358024691358,0.833333333333333,3.04324324324324,0.824156305506217,1.63577586206897,1.10671936758893,1.08333333333333,0.830769230769231,1.37169312169312,0.788813886210222,1.77139364303178,0.869565217391304,1.01269841269841,0.63166144200627,1.58684863523573,0.874120406567631,0.850626118067978,1.18611987381703,1.01241134751773,0.891418563922942,0.892927308447937,1.23652365236524,0.541814946619217,1.46305418719212,0.921436588103255,1.71376370280146,0.528784648187633,1.10349462365591,0.906211936662607,1.09139784946237,0.87192118226601,1.51271186440678,0.827264239028945,0.341986455981941,2.28052805280528,0.881331403762663,1.16584564860427
